frames,reward,dist
5000,0.0000,4.7676
10000,0.0000,6.7043
15000,0.0000,9.7936
20000,0.0000,8.1101
25000,0.0000,9.1352
30000,0.0000,7.6227
35000,0.0000,7.3250
40000,0.0000,9.9743
45000,0.0000,9.1546
50000,0.0000,8.7745
55000,0.0000,0.5541
60000,0.0000,0.6157
65000,0.0000,1.1295
70000,0.0000,1.1885
75000,0.0000,0.9793
80000,0.0000,1.1268
85000,0.0000,1.0924
90000,0.0000,0.5007
95000,0.0000,1.2305
100000,0.0000,1.0017
105000,0.0000,0.9665
110000,0.0000,0.9454
115000,0.0000,0.5544
120000,0.0000,0.9682
125000,0.0000,1.2236
130000,0.0000,1.0989
135000,0.0000,1.0925
140000,0.0000,1.1039
145000,0.0000,1.2649
150000,0.0000,1.0982
155000,0.0000,1.2052
160000,0.0000,1.0661
165000,0.0000,1.1626
170000,0.0000,0.8781
175000,0.0000,1.1961
180000,0.0000,0.7894
185000,0.0000,0.9427
190000,0.0000,1.2922
195000,0.0000,1.0491
200000,0.0000,1.0944
205000,0.0000,1.0963
210000,0.0000,1.1733
215000,0.0000,1.0601
220000,0.0000,1.1695
225000,0.0000,1.2038
230000,0.0000,1.2450
235000,0.0000,1.1473
240000,0.0000,0.9930
245000,0.0000,1.1211
250000,0.0000,1.5673
255000,0.0000,1.3665
260000,0.0000,1.3389
265000,0.0000,1.3783
270000,0.0000,1.6033
275000,0.0000,1.9011
280000,0.0000,1.3496
285000,0.0000,1.4012
290000,0.0000,1.4031
295000,0.0000,1.5675
300000,0.0000,1.5851
305000,0.0000,1.5358
310000,0.0000,1.7096
315000,0.0000,1.3838
320000,0.0000,1.5947
325000,0.0000,1.7751
330000,0.0000,1.6518
335000,0.0000,1.4434
340000,0.0000,1.0257
345000,0.0000,1.1814
350000,0.0000,1.1957
355000,0.0000,1.1372
360000,0.0000,1.4919
365000,0.0000,1.3107
370000,0.0000,1.1403
375000,0.0000,1.7459
380000,0.0000,1.1160
385000,0.0000,1.0130
390000,0.0000,1.2846
395000,0.0000,1.0383
400000,0.0000,0.8325
405000,0.0000,1.2494
410000,0.0000,0.8617
415000,0.0000,1.1117
420000,0.0000,1.5144
425000,0.0000,1.6007
430000,0.0000,1.7231
435000,0.0000,1.3373
440000,0.0000,1.6426
445000,0.0000,1.7483
450000,0.0000,1.6489
455000,0.0000,1.4739
460000,0.0000,1.7579
465000,0.0000,1.4221
470000,0.0000,1.6780
475000,0.0000,1.7266
480000,0.0000,1.6373
485000,0.0000,1.7207
490000,0.0000,1.5197
495000,0.0000,1.5589
500000,0.0000,1.5461
505000,0.0000,1.5622
510000,0.0000,1.5857
515000,0.0000,1.5150
520000,0.0000,1.4111
525000,0.0000,1.4113
530000,0.0000,1.2352
535000,0.0000,1.8913
540000,0.0000,1.4452
545000,0.0000,1.5003
550000,0.0000,1.3722
555000,0.0000,1.1417
560000,0.0000,1.2538
565000,0.0000,1.3596
570000,0.0000,1.3291
575000,0.0000,1.1039
580000,0.0000,1.4104
585000,0.0000,1.4156
590000,0.0000,1.6015
595000,0.0000,1.3869
600000,0.0000,1.3124
605000,0.0000,1.3295
610000,0.0000,1.3002
615000,0.0000,1.3852
620000,0.0000,1.0810
625000,0.0000,0.9777
630000,0.0000,1.2887
635000,0.0000,1.3407
640000,0.0000,1.1887
645000,0.0000,1.3519
650000,0.0000,1.2958
655000,0.0000,1.2122
660000,0.0000,1.3500
665000,0.0000,1.2845
670000,0.0000,1.2851
675000,0.0000,1.3220
680000,0.0000,1.0754
685000,0.0000,1.3456
690000,0.0000,1.2783
695000,0.0000,1.4629
700000,0.0000,1.3282
705000,0.0000,1.2203
710000,0.0000,1.1192
715000,0.0000,1.4224
720000,0.0000,1.1017
725000,0.0000,1.6091
730000,0.0000,1.2798
735000,0.0000,1.3192
740000,0.0000,1.1898
745000,0.0000,1.2761
750000,0.0000,1.4011
755000,0.0000,1.0784
760000,0.0000,1.1804
765000,0.0000,1.1774
770000,0.0000,1.1477
775000,0.0000,1.1433
780000,0.0000,1.3033
785000,0.0000,1.1217
790000,0.0000,1.4093
795000,0.0000,1.1710
