reach_time,algo_time,percentage
1.8079,319.5995,0.0057
3.7522,646.1654,0.0058
10.3962,997.9634,0.0104
23.4569,1340.7179,0.0175
39.9031,1684.1808,0.0237
58.1888,2028.3421,0.0287
81.2715,2375.9618,0.0342
112.2036,2732.1491,0.0411
146.6280,3093.8977,0.0474
181.4052,3455.4322,0.0525
218.8454,3823.8437,0.0572
260.3461,4209.4440,0.0618
304.1916,4580.4138,0.0664
348.6166,4950.4090,0.0704
394.0878,5324.2758,0.0740
440.2776,5696.6273,0.0773
488.3059,6070.3691,0.0804
538.6230,6447.1420,0.0835
591.8201,6824.3090,0.0867
646.5914,7222.9853,0.0895
701.7504,7600.1831,0.0923
757.7673,7975.8816,0.0950
814.2351,8354.5539,0.0975
870.6597,8728.5124,0.0997
928.6515,9107.4150,0.1020
990.6537,9486.4154,0.1044
1055.2377,9870.4383,0.1069
1111.4813,10282.4802,0.1081
1178.4229,10667.8385,0.1105
1246.4477,11052.8409,0.1128
1315.0244,11437.4077,0.1150
1383.4378,11825.3915,0.1170
1453.6528,12210.6175,0.1190
1523.3008,12595.9955,0.1209
1593.7257,12983.0049,0.1228
1662.3750,13392.4671,0.1241
1733.2817,13777.1314,0.1258
1805.0266,14165.7133,0.1274
1876.3943,14553.9018,0.1289
1947.8387,14943.5130,0.1303
2021.3655,15336.1736,0.1318
2094.5207,15727.8610,0.1332
2167.9051,16118.2388,0.1345
2240.7870,16518.8991,0.1356
2314.7234,16918.4107,0.1368
2389.4326,17311.1622,0.1380
2465.3692,17703.7422,0.1393
2542.1596,18098.6718,0.1405
2619.7819,18494.1406,0.1417
2698.9294,18893.8975,0.1428
2778.4505,19289.9646,0.1440
2857.0884,19693.0274,0.1451
2936.9025,20110.5458,0.1460
3016.8466,20506.5416,0.1471
3098.2118,20904.8915,0.1482
3179.1090,21303.7612,0.1492
3260.2195,21703.7390,0.1502
3341.1674,22103.5910,0.1512
3423.3041,22503.2010,0.1521
3505.1957,22901.0274,0.1531
3578.0298,23328.6160,0.1534
3660.4732,23729.9597,0.1543
3742.7130,24131.9133,0.1551
3825.0468,24530.1966,0.1559
3907.4254,24929.9292,0.1567
3990.5604,25327.2498,0.1576
4073.5726,25724.2379,0.1584
4156.6690,26124.7464,0.1591
4240.8996,26547.1663,0.1597
4324.1873,26954.8080,0.1604
4407.1039,27354.9667,0.1611
4490.6060,27756.0476,0.1618
4573.0646,28156.9470,0.1624
4656.0327,28558.7856,0.1630
4739.3964,28963.6255,0.1636
4822.7002,29365.2257,0.1642
4903.9023,29771.7643,0.1647
4987.1426,30192.5968,0.1652
5070.4036,30593.4488,0.1657
5153.8978,30994.7807,0.1663
5237.5444,31396.1067,0.1668
5321.1862,31797.2703,0.1673
5404.6821,32202.4217,0.1678
5487.9950,32603.0583,0.1683
5570.8953,33004.1875,0.1688
5654.1868,33433.9111,0.1691
5737.6264,33835.5675,0.1696
5821.2794,34238.3263,0.1700
5905.4413,34644.3268,0.1705
5988.9304,35047.4465,0.1709
6073.0497,35445.6297,0.1713
6157.1187,35846.9702,0.1718
6241.4042,36253.2861,0.1722
6324.5977,36652.2520,0.1726
6408.5161,37074.4196,0.1729
6492.6696,37475.2574,0.1733
6576.7456,37877.7995,0.1736
6660.7978,38277.5809,0.1740
6744.9007,38681.4286,0.1744
6829.0035,38681.2265,0.1765
