reach_time,algo_time,percentage
0.0001,158.2992,0.0000
0.0001,158.3908,0.0000
0.0001,158.4784,0.0000
0.0002,158.5631,0.0000
0.0002,165.2611,0.0000
0.0002,165.4338,0.0000
0.0002,172.4481,0.0000
0.0002,172.5764,0.0000
0.0003,172.6674,0.0000
0.0003,179.6262,0.0000
0.0003,179.7539,0.0000
0.0003,179.9495,0.0000
0.0003,189.3005,0.0000
0.0003,195.7714,0.0000
0.0004,195.8695,0.0000
0.0004,195.9535,0.0000
0.0004,196.0451,0.0000
0.0004,202.9602,0.0000
0.0004,210.1752,0.0000
0.0005,210.3004,0.0000
0.0005,210.4900,0.0000
0.0005,218.3274,0.0000
0.0005,218.4442,0.0000
0.0005,227.5842,0.0000
0.0005,227.7160,0.0000
0.0006,227.8116,0.0000
0.0006,227.9079,0.0000
0.0006,234.8683,0.0000
0.0006,242.0127,0.0000
0.0006,242.3112,0.0000
0.0007,249.6003,0.0000
0.0007,249.8170,0.0000
0.0007,257.2774,0.0000
0.0007,257.3808,0.0000
0.0007,257.5793,0.0000
0.0007,266.1653,0.0000
0.0008,266.2651,0.0000
0.0008,266.4723,0.0000
0.0008,273.9609,0.0000
0.0008,274.0717,0.0000
0.0008,274.1794,0.0000
0.0009,281.2752,0.0000
0.0009,281.3756,0.0000
0.0009,289.1821,0.0000
0.0009,305.7769,0.0000
0.0009,305.8823,0.0000
0.0009,306.0859,0.0000
0.0010,314.0570,0.0000
0.0010,321.1301,0.0000
0.0010,321.3125,0.0000
0.0010,329.2599,0.0000
0.0010,329.5074,0.0000
0.0011,329.6199,0.0000
0.0011,336.6137,0.0000
0.0011,345.7362,0.0000
0.0011,346.0979,0.0000
0.0011,346.2865,0.0000
0.0012,353.5079,0.0000
0.0012,353.6200,0.0000
0.0012,361.6073,0.0000
0.0012,361.8046,0.0000
0.0012,361.9970,0.0000
0.0013,369.5084,0.0000
0.0013,369.7204,0.0000
0.0013,377.0151,0.0000
0.0013,377.1482,0.0000
0.0013,377.2805,0.0000
0.0013,386.2034,0.0000
0.0014,393.7737,0.0000
0.0014,393.9077,0.0000
0.0014,394.0387,0.0000
0.0014,401.7970,0.0000
0.0014,402.0293,0.0000
0.0015,402.1484,0.0000
0.0015,409.1725,0.0000
0.0015,409.2920,0.0000
0.0015,409.4146,0.0000
0.0015,417.1639,0.0000
0.0015,426.4433,0.0000
0.0016,426.5644,0.0000
0.0016,426.8197,0.0000
0.0016,434.2414,0.0000
0.0016,441.0885,0.0000
0.0016,441.2241,0.0000
0.0017,441.3898,0.0000
0.0017,441.6028,0.0000
0.0017,449.2050,0.0000
0.0017,449.5549,0.0000
0.0017,456.6945,0.0000
0.0018,465.8361,0.0000
0.0018,466.1017,0.0000
0.0018,466.2224,0.0000
0.0018,473.6730,0.0000
0.0018,481.4560,0.0000
0.0018,481.7061,0.0000
0.0019,488.9270,0.0000
0.0019,489.2982,0.0000
0.0019,496.3117,0.0000
0.0019,496.5640,0.0000
0.0019,496.8869,0.0000
0.0020,505.8832,0.0000
0.0020,512.2221,0.0000
0.0020,512.4739,0.0000
0.0020,519.1883,0.0000
0.0020,525.9975,0.0000
0.0020,526.3828,0.0000
0.0021,533.0026,0.0000
0.0021,533.2673,0.0000
0.0021,542.1725,0.0000
0.0021,542.3029,0.0000
0.0021,549.5590,0.0000
0.0022,549.7896,0.0000
0.0022,549.9900,0.0000
0.0022,557.9916,0.0000
0.0022,558.1241,0.0000
0.0022,565.9624,0.0000
0.0023,566.4270,0.0000
0.0023,573.9780,0.0000
0.0023,574.2118,0.0000
0.0023,574.5410,0.0000
0.0023,583.5076,0.0000
0.0023,583.8564,0.0000
0.0024,591.9888,0.0000
0.0024,599.6879,0.0000
0.0024,606.8240,0.0000
0.0024,606.9986,0.0000
0.0024,607.1779,0.0000
0.0025,607.3514,0.0000
0.0025,615.0026,0.0000
0.0025,615.2781,0.0000
0.0025,625.7546,0.0000
0.0025,633.4485,0.0000
0.0026,633.5862,0.0000
0.0026,641.9514,0.0000
0.0026,649.7819,0.0000
0.0026,649.9240,0.0000
0.0026,657.2118,0.0000
0.0026,657.4993,0.0000
0.0027,667.0250,0.0000
0.0027,667.3173,0.0000
0.0027,667.4608,0.0000
0.0027,682.7687,0.0000
0.0027,683.0535,0.0000
0.0028,690.1703,0.0000
0.0028,699.0789,0.0000
0.0028,699.2273,0.0000
0.0028,699.3749,0.0000
0.0028,708.8656,0.0000
0.0028,709.1813,0.0000
0.0029,716.4781,0.0000
0.0029,716.7809,0.0000
0.0029,723.6619,0.0000
0.0029,723.8131,0.0000
0.0029,723.9660,0.0000
0.0030,738.5701,0.0000
0.0030,738.9580,0.0000
0.0030,739.3418,0.0000
0.0030,748.3833,0.0000
0.0030,748.5743,0.0000
0.0031,748.7680,0.0000
0.0031,755.7918,0.0000
0.0031,763.4815,0.0000
0.0031,764.0159,0.0000
0.0031,771.2365,0.0000
0.0032,771.3924,0.0000
0.0032,771.5499,0.0000
0.0032,779.0723,0.0000
0.0032,789.0483,0.0000
0.0032,797.1091,0.0000
0.0032,797.3253,0.0000
0.0033,797.7229,0.0000
0.0033,805.2234,0.0000
0.0033,805.3816,0.0000
0.0033,813.1757,0.0000
0.0033,813.4327,0.0000
0.0034,813.9073,0.0000
0.0034,832.4294,0.0000
0.0034,832.6399,0.0000
0.0034,832.8035,0.0000
0.0034,840.4405,0.0000
0.0034,840.6088,0.0000
0.0035,840.7747,0.0000
0.0035,840.9654,0.0000
0.0035,849.4633,0.0000
0.0035,856.9476,0.0000
0.0035,864.7138,0.0000
0.0036,865.0436,0.0000
0.0036,874.7285,0.0000
0.0036,882.6323,0.0000
0.0036,882.8014,0.0000
0.0036,882.9739,0.0000
0.0036,890.1059,0.0000
0.0037,890.2657,0.0000
0.0037,890.5945,0.0000
0.0037,896.8271,0.0000
0.0037,904.1205,0.0000
0.0037,913.0505,0.0000
0.0037,913.2196,0.0000
0.0038,913.4469,0.0000
0.0038,913.6160,0.0000
0.0038,927.8210,0.0000
0.0038,935.7845,0.0000
0.0038,936.1304,0.0000
0.0039,936.3040,0.0000
0.0039,943.9373,0.0000
0.0039,944.3199,0.0000
0.0039,953.8539,0.0000
0.0039,954.1488,0.0000
0.0040,963.2367,0.0000
0.0040,963.4128,0.0000
0.0040,971.1819,0.0000
0.0040,971.3610,0.0000
0.0040,971.5414,0.0000
0.0040,978.4811,0.0000
0.0041,978.8960,0.0000
0.0041,979.2566,0.0000
0.0041,986.8085,0.0000
0.0041,986.9878,0.0000
0.0041,987.1658,0.0000
0.0042,997.4994,0.0000
0.0042,997.6392,0.0000
0.0042,1006.3708,0.0000
0.0042,1006.8632,0.0000
0.0042,1007.0065,0.0000
0.0042,1007.1453,0.0000
0.0043,1014.7098,0.0000
0.0043,1014.8903,0.0000
0.0043,1022.6635,0.0000
0.0043,1030.4846,0.0000
0.0043,1030.6621,0.0000
0.0043,1030.8377,0.0000
0.0044,1031.0161,0.0000
0.0044,1040.4148,0.0000
0.0044,1040.6431,0.0000
0.0044,1041.0038,0.0000
0.0044,1048.9961,0.0000
0.0045,1049.1368,0.0000
0.0045,1057.1139,0.0000
0.0045,1057.3544,0.0000
0.0045,1057.5423,0.0000
0.0045,1057.7331,0.0000
0.0045,1073.9813,0.0000
0.0046,1084.0412,0.0000
0.0046,1084.2327,0.0000
0.0046,1084.4224,0.0000
0.0046,1084.6126,0.0000
0.0046,1092.2696,0.0000
0.0047,1092.6819,0.0000
0.0047,1092.8628,0.0000
0.0047,1093.0169,0.0000
0.0047,1101.0042,0.0000
0.0047,1101.2997,0.0000
0.0047,1101.4566,0.0000
0.0048,1101.6012,0.0000
0.0048,1109.2267,0.0000
0.0048,1116.7940,0.0000
0.0048,1117.2658,0.0000
0.0048,1117.4350,0.0000
0.0048,1127.3991,0.0000
0.0049,1128.2900,0.0000
0.0049,1128.4443,0.0000
0.0049,1128.5940,0.0000
0.0049,1136.1481,0.0000
0.0049,1136.3392,0.0000
0.0049,1136.5322,0.0000
0.0050,1136.7270,0.0000
0.0050,1137.0307,0.0000
0.0050,1145.9614,0.0000
0.0050,1154.3894,0.0000
0.0050,1154.5833,0.0000
0.0051,1154.7801,0.0000
0.0051,1162.4764,0.0000
0.0051,1162.7216,0.0000
0.0051,1162.9193,0.0000
0.0051,1171.7802,0.0000
0.0052,1179.4790,0.0000
0.0052,1179.8958,0.0000
0.0052,1180.1506,0.0000
0.0052,1180.5388,0.0000
0.0052,1180.7067,0.0000
0.0052,1188.0910,0.0000
0.0053,1196.0947,0.0000
0.0053,1196.6007,0.0000
0.0053,1203.7195,0.0000
0.0053,1204.0350,0.0000
0.0053,1213.7662,0.0000
0.0053,1213.9651,0.0000
0.0054,1214.1616,0.0000
0.0054,1215.1253,0.0000
0.0054,1215.2798,0.0000
0.0054,1223.1761,0.0000
0.0054,1231.0556,0.0000
0.0055,1238.7514,0.0000
0.0055,1238.9803,0.0000
0.0055,1239.1858,0.0000
0.0055,1246.8613,0.0000
0.0055,1247.0690,0.0000
0.0055,1257.7917,0.0000
0.0056,1258.0101,0.0000
0.0056,1258.1641,0.0000
0.0056,1258.3197,0.0000
0.0056,1265.6116,0.0000
0.0056,1266.2283,0.0000
0.0057,1272.2847,0.0000
0.0057,1272.4911,0.0000
0.0057,1272.6538,0.0000
0.0057,1272.8103,0.0000
0.0057,1280.0656,0.0000
0.0058,1287.0177,0.0000
0.0058,1287.2513,0.0000
0.0058,1287.6142,0.0000
0.0058,1287.7752,0.0000
0.0058,1296.4443,0.0000
0.0058,1297.2347,0.0000
0.0059,1304.2302,0.0000
0.0059,1304.4720,0.0000
0.0059,1304.7166,0.0000
0.0059,1304.9247,0.0000
0.0059,1312.1024,0.0000
0.0059,1312.3133,0.0000
0.0060,1312.5214,0.0000
0.0060,1319.2895,0.0000
0.0060,1319.5236,0.0000
0.0060,1320.0157,0.0000
0.0060,1320.2282,0.0000
0.0061,1327.7401,0.0000
0.0061,1328.3671,0.0000
0.0061,1328.5316,0.0000
0.0061,1328.6928,0.0000
0.0061,1339.6312,0.0000
0.0061,1339.8364,0.0000
0.0062,1340.3059,0.0000
0.0062,1347.4577,0.0000
0.0062,1348.4071,0.0000
0.0062,1348.5795,0.0000
0.0062,1356.5474,0.0000
0.0063,1365.1521,0.0000
0.0063,1372.8656,0.0000
0.0063,1382.7721,0.0000
0.0063,1383.2002,0.0000
0.0063,1383.4115,0.0000
0.0063,1391.7216,0.0000
0.0064,1399.6381,0.0000
0.0064,1408.3936,0.0000
0.0064,1415.6047,0.0000
0.0064,1416.2983,0.0000
0.0064,1416.4683,0.0000
0.0065,1416.8081,0.0000
0.0065,1425.9749,0.0000
0.0065,1433.9021,0.0000
0.0065,1434.1543,0.0000
0.0065,1434.7055,0.0000
0.0065,1434.9037,0.0000
0.0066,1442.8560,0.0000
0.0066,1443.0769,0.0000
0.0066,1450.9430,0.0000
0.0066,1451.1670,0.0000
0.0066,1451.6205,0.0000
0.0067,1451.9082,0.0000
0.0067,1459.5284,0.0000
0.0067,1460.1928,0.0000
0.0067,1469.7246,0.0000
0.0067,1470.3639,0.0000
0.0067,1478.3337,0.0000
0.0068,1478.6245,0.0000
0.0068,1478.8167,0.0000
0.0068,1487.8393,0.0000
0.0068,1488.2007,0.0000
0.0068,1488.3714,0.0000
0.0069,1495.8173,0.0000
0.0069,1496.0412,0.0000
0.0069,1496.4402,0.0000
0.0069,1505.1028,0.0000
0.0069,1505.4235,0.0000
0.0069,1515.3207,0.0000
0.0070,1523.2783,0.0000
0.0070,1523.9626,0.0000
0.0070,1524.1360,0.0000
0.0070,1531.5559,0.0000
0.0070,1531.9433,0.0000
0.0071,1532.2530,0.0000
0.0071,1532.4893,0.0000
0.0071,1547.5777,0.0000
0.0071,1547.8098,0.0000
0.0071,1548.0417,0.0000
0.0071,1557.6733,0.0000
0.0072,1564.5457,0.0000
0.0072,1573.6704,0.0000
0.0072,1574.1297,0.0000
0.0072,1574.5401,0.0000
0.0072,1582.6717,0.0000
0.0073,1583.0280,0.0000
0.0073,1590.1372,0.0000
0.0073,1590.4225,0.0000
0.0073,1590.7556,0.0000
