reach_time,algo_time,percentage
1.8233,321.4523,0.0057
3.7692,647.1618,0.0058
10.1059,1007.3521,0.0100
23.1961,1341.3948,0.0173
39.4124,1682.2724,0.0234
57.6805,2025.7523,0.0285
79.5354,2393.8879,0.0332
110.5839,2752.7628,0.0402
145.2761,3114.0144,0.0467
179.9543,3473.7872,0.0518
217.6215,3856.9257,0.0564
258.9073,4227.6690,0.0612
302.6704,4594.3235,0.0659
347.5989,4964.0977,0.0700
392.2266,5347.1576,0.0734
438.4655,5727.9058,0.0765
486.4899,6100.9168,0.0797
537.4599,6480.6047,0.0829
588.7509,6860.3565,0.0858
643.6404,7262.9484,0.0886
698.4034,7642.6032,0.0914
754.1344,8018.8591,0.0940
810.7976,8394.9394,0.0966
866.7511,8790.9333,0.0986
924.6837,9167.3922,0.1009
987.4277,9549.7062,0.1034
1052.5735,9928.5270,0.1060
1116.8847,10312.6307,0.1083
1184.0164,10721.7801,0.1104
1251.8066,11108.2068,0.1127
1320.1675,11495.4587,0.1148
1388.5034,11879.3098,0.1169
1457.9043,12275.2830,0.1188
1528.0532,12675.6495,0.1206
1598.6068,13063.3602,0.1224
1669.8453,13451.2394,0.1241
1740.7811,13835.6293,0.1258
1813.9316,14247.5712,0.1273
1885.5056,14635.9613,0.1288
1957.3794,15023.4490,0.1303
2030.7155,15412.2023,0.1318
2104.3463,15805.1011,0.1331
2169.7143,16219.4072,0.1338
2243.7507,16611.3773,0.1351
2317.7126,17004.0465,0.1363
2392.8345,17397.1506,0.1375
2469.0795,17791.7415,0.1388
2539.5351,18215.9890,0.1394
2617.4883,18611.0764,0.1406
2697.2969,19008.2125,0.1419
2777.1013,19405.9168,0.1431
2856.9818,19806.6434,0.1442
2933.6679,20234.6759,0.1450
3014.2128,20634.6972,0.1461
3095.3787,21035.4223,0.1472
3176.4530,21436.0386,0.1482
3257.7215,21836.9582,0.1492
3336.6522,22269.2487,0.1498
3418.8870,22668.9956,0.1508
3501.2186,23068.2208,0.1518
3583.6180,23471.0561,0.1527
3666.1209,23874.6884,0.1536
3742.1218,24304.3808,0.1540
3824.7985,24702.3011,0.1548
3907.8846,25104.3361,0.1557
3991.1681,25505.5865,0.1565
4075.1651,25909.4323,0.1573
4160.4373,26334.8740,0.1580
4243.9352,26736.9147,0.1587
4327.1756,27138.4602,0.1594
4410.9156,27542.2861,0.1602
4494.3112,27945.8355,0.1608
4576.2433,28357.2451,0.1614
4660.1633,28779.0144,0.1619
4744.1532,29182.9708,0.1626
4828.1118,29587.9663,0.1632
4911.8341,29991.6400,0.1638
4996.1137,30395.7021,0.1644
5074.9077,30833.7146,0.1646
5158.8099,31238.1021,0.1651
5242.5899,31641.9720,0.1657
5325.9810,32043.1432,0.1662
5409.4422,32449.9734,0.1667
5491.8468,32865.4191,0.1671
5575.4971,33279.3748,0.1675
5659.3869,33682.3315,0.1680
5742.8927,34086.4398,0.1685
5827.3084,34489.6861,0.1690
5911.6536,34893.5322,0.1694
5988.7367,35324.7606,0.1695
6073.2256,35726.1471,0.1700
6157.4628,36129.6081,0.1704
6242.2718,36535.6133,0.1709
6326.5131,36937.6902,0.1713
6409.4764,37346.2844,0.1716
6493.2399,37770.1599,0.1719
6577.6383,38172.4789,0.1723
6662.0126,38575.2880,0.1727
6745.7991,38977.5467,0.1731
6829.5855,38977.2873,0.1752
