reach_time,algo_time,percentage
1.9397,315.7529,0.0061
6.4118,640.8485,0.0100
18.7309,976.5466,0.0192
34.3976,1318.5002,0.0261
52.2545,1661.9728,0.0314
72.1146,2010.0153,0.0359
96.6072,2366.6966,0.0408
124.1393,2726.3899,0.0455
152.3548,3082.7344,0.0494
183.1272,3441.3692,0.0532
214.2159,3802.3003,0.0563
249.6904,4166.6200,0.0599
286.2473,4534.5702,0.0631
323.0352,4898.6494,0.0659
362.0816,5271.4112,0.0687
406.7065,5646.0158,0.0720
452.4283,6025.9907,0.0751
499.5844,6403.1638,0.0780
548.8062,6777.8279,0.0810
602.8727,7174.2573,0.0840
658.6363,7576.1194,0.0869
715.8349,7973.7795,0.0898
773.9605,8365.9637,0.0925
832.4348,8753.3093,0.0951
893.7925,9138.7917,0.0978
956.2751,9537.3753,0.1003
1019.3241,9935.0903,0.1026
1083.6216,10330.4438,0.1049
1149.8441,10721.8987,0.1072
1218.2474,11119.1589,0.1096
1286.6281,11515.6828,0.1117
1355.4853,11914.5878,0.1138
1422.9935,12317.2661,0.1155
1491.0666,12713.4334,0.1173
1558.8061,13111.1947,0.1189
1629.4847,13507.3829,0.1206
1698.9264,13909.4303,0.1221
1766.8306,14311.7054,0.1235
1836.3416,14705.6205,0.1249
1904.6140,15100.3922,0.1261
1975.5324,15501.6283,0.1274
2047.8487,15900.2709,0.1288
2118.8240,16295.8868,0.1300
2190.7131,16694.1599,0.1312
2259.1984,17087.7142,0.1322
2328.8494,17478.5646,0.1332
2401.9504,17880.4635,0.1343
2472.7674,18274.3782,0.1353
2543.6376,18672.6539,0.1362
2612.5268,19069.1725,0.1370
2686.1873,19470.7504,0.1380
2757.3641,19870.0774,0.1388
2831.7097,20275.6910,0.1397
2905.1662,20679.4196,0.1405
2977.5928,21082.8681,0.1412
3050.3486,21489.8747,0.1419
3120.1736,21891.9557,0.1425
3196.0052,22295.0880,0.1434
3270.3316,22703.5361,0.1440
3344.9810,23105.8643,0.1448
3421.4761,23516.5138,0.1455
3494.7012,23922.4826,0.1461
3569.2115,24324.1969,0.1467
3645.5476,24735.1181,0.1474
3721.3979,25141.4053,0.1480
3797.0409,25546.7625,0.1486
3871.2669,25949.3434,0.1492
3946.5284,26354.8462,0.1497
4021.9172,26763.3306,0.1503
4097.1268,27173.2481,0.1508
4174.9723,27583.2791,0.1514
4249.8882,27985.6827,0.1519
4325.2841,28398.0827,0.1523
4400.2132,28807.1030,0.1527
4477.1811,29214.5560,0.1533
4553.0874,29617.6132,0.1537
4629.6824,30025.5431,0.1542
4708.6673,30434.7895,0.1547
4784.8791,30846.5914,0.1551
4862.8465,31256.5752,0.1556
4939.0691,31662.3731,0.1560
5014.6394,32071.1505,0.1564
5092.7054,32483.3932,0.1568
5169.2046,32893.0889,0.1572
5245.8667,33297.6600,0.1575
5322.5767,33704.7983,0.1579
5397.1040,34107.9598,0.1582
5475.2912,34514.7928,0.1586
5554.3645,34930.1062,0.1590
5632.2395,35342.2042,0.1594
5708.5762,35746.7099,0.1597
5786.3362,36151.2099,0.1601
5865.0569,36558.0299,0.1604
5942.6351,36965.0372,0.1608
6019.5086,37370.4618,0.1611
6099.5428,37784.4095,0.1614
6179.1371,38197.4136,0.1618
6256.2801,38607.1192,0.1620
6334.3367,39018.6795,0.1623
6412.3933,39018.8888,0.1643
