reach_time,algo_time,percentage
0.0001,141.4125,0.0000
0.0001,141.4864,0.0000
0.0001,147.6670,0.0000
0.0002,147.7564,0.0000
0.0002,147.8299,0.0000
0.0002,147.9032,0.0000
0.0002,154.5383,0.0000
0.0002,154.8023,0.0000
0.0002,161.0715,0.0000
0.0003,161.1542,0.0000
0.0003,161.3014,0.0000
0.0003,167.6334,0.0000
0.0003,167.7483,0.0000
0.0003,167.8231,0.0000
0.0003,176.6422,0.0000
0.0004,176.8342,0.0000
0.0004,176.9145,0.0000
0.0004,183.7542,0.0000
0.0004,190.7616,0.0000
0.0004,190.8439,0.0000
0.0004,190.9252,0.0000
0.0005,197.2350,0.0000
0.0005,197.3200,0.0000
0.0005,197.3946,0.0000
0.0005,203.5414,0.0000
0.0005,203.6210,0.0000
0.0005,203.7013,0.0000
0.0005,213.1569,0.0000
0.0006,213.2492,0.0000
0.0006,213.4056,0.0000
0.0006,219.6213,0.0000
0.0006,219.7030,0.0000
0.0006,226.5256,0.0000
0.0006,226.6355,0.0000
0.0007,232.9077,0.0000
0.0007,233.3643,0.0000
0.0007,233.4444,0.0000
0.0007,239.6961,0.0000
0.0007,248.6198,0.0000
0.0008,248.8159,0.0000
0.0008,248.9027,0.0000
0.0008,255.7089,0.0000
0.0008,255.8067,0.0000
0.0008,255.9784,0.0000
0.0008,263.6691,0.0000
0.0009,263.7554,0.0000
0.0009,263.8466,0.0000
0.0009,270.1502,0.0000
0.0009,270.2453,0.0000
0.0009,277.2064,0.0000
0.0009,277.3066,0.0000
0.0009,277.3956,0.0000
0.0010,287.0371,0.0000
0.0010,294.6605,0.0000
0.0010,301.7813,0.0000
0.0010,301.9829,0.0000
0.0010,308.3371,0.0000
0.0011,308.5236,0.0000
0.0011,308.6164,0.0000
0.0011,315.9847,0.0000
0.0011,316.1161,0.0000
0.0011,316.2069,0.0000
0.0011,325.9578,0.0000
0.0011,326.1971,0.0000
0.0012,332.6884,0.0000
0.0012,332.7842,0.0000
0.0012,332.8763,0.0000
0.0012,339.2304,0.0000
0.0012,345.3734,0.0000
0.0013,345.4764,0.0000
0.0013,352.4087,0.0000
0.0013,362.6598,0.0000
0.0013,362.7604,0.0000
0.0013,369.7050,0.0000
0.0013,369.8537,0.0000
0.0014,370.0568,0.0000
0.0014,376.5814,0.0000
0.0014,376.6767,0.0000
0.0014,383.0126,0.0000
0.0014,383.1586,0.0000
0.0014,398.7957,0.0000
0.0015,398.9123,0.0000
0.0015,399.0146,0.0000
0.0015,399.1198,0.0000
0.0015,406.1337,0.0000
0.0015,413.1694,0.0000
0.0015,419.3275,0.0000
0.0016,419.4702,0.0000
0.0016,419.5720,0.0000
0.0016,419.6783,0.0000
0.0016,426.5151,0.0000
0.0016,426.8339,0.0000
0.0016,435.8681,0.0000
0.0017,436.0765,0.0000
0.0017,436.1862,0.0000
0.0017,442.9497,0.0000
0.0017,443.0620,0.0000
0.0017,449.7139,0.0000
0.0017,449.9502,0.0000
0.0018,456.6651,0.0000
0.0018,456.7986,0.0000
0.0018,456.9357,0.0000
