reach_time,algo_time,percentage
2.1949,247.8573,0.0089
4.8701,505.5754,0.0096
18.0677,780.7146,0.0231
56.3121,1083.7472,0.0520
101.6547,1397.7564,0.0727
152.5228,1716.2762,0.0889
207.8556,2039.0396,0.1019
265.3697,2364.4101,0.1122
327.8976,2692.5626,0.1218
393.4057,3024.7147,0.1301
458.9649,3355.9212,0.1368
525.2712,3690.8277,0.1423
593.3076,4026.7133,0.1473
663.7245,4362.7692,0.1521
733.9252,4701.3542,0.1561
804.8258,5037.0286,0.1598
875.8744,5371.9485,0.1630
948.4546,5710.8587,0.1661
1022.9309,6051.5260,0.1690
1096.2816,6391.0707,0.1715
1170.2614,6731.2886,0.1739
1243.5579,7070.4942,0.1759
1318.1803,7407.9323,0.1779
1392.6360,7746.1804,0.1798
1466.8836,8088.1016,0.1814
1541.6107,8426.3461,0.1830
1616.7431,8767.0184,0.1844
1692.2114,9107.8783,0.1858
1767.8369,9453.4506,0.1870
1843.2186,9795.5737,0.1882
1918.2912,10136.6523,0.1892
1994.2527,10476.7111,0.1904
2071.0309,10818.6271,0.1914
2147.5215,11159.7270,0.1924
2224.5348,11503.1854,0.1934
2301.4661,11844.6136,0.1943
2378.9919,12189.3739,0.1952
2455.4764,12532.3181,0.1959
2533.6343,12874.0877,0.1968
2611.3204,13218.5011,0.1976
2689.7198,13563.3422,0.1983
2767.6355,13909.3239,0.1990
2846.4464,14255.6477,0.1997
2925.2468,14603.2878,0.2003
3003.3440,14949.4654,0.2009
3081.4529,15297.0356,0.2014
3160.1340,15649.2072,0.2019
3238.7256,16001.1342,0.2024
3316.9865,16352.8513,0.2028
3396.4264,16703.1352,0.2033
3477.1607,17057.0569,0.2039
3557.9021,17411.6169,0.2043
3638.6935,17760.6151,0.2049
3719.5781,18109.5533,0.2054
3800.3122,18461.7870,0.2058
3881.4041,18813.5672,0.2063
3962.3095,19165.2753,0.2067
4043.2647,19521.4563,0.2071
4123.9740,19871.7248,0.2075
4204.5186,20225.8921,0.2079
4285.5744,20577.3648,0.2083
4366.8392,20928.3663,0.2087
4447.6249,21277.3592,0.2090
4528.8326,21629.5587,0.2094
4610.5078,21984.8169,0.2097
4691.9981,22337.8588,0.2100
4773.9126,22689.6162,0.2104
4855.0244,23042.3150,0.2107
4936.6510,23396.0835,0.2110
5019.3572,23752.5873,0.2113
5101.5528,24108.2842,0.2116
5184.2510,24463.7595,0.2119
5266.9890,24816.6897,0.2122
5349.8506,25170.4363,0.2125
5432.2765,25524.7755,0.2128
5515.5727,25876.1407,0.2132
5599.5535,26233.0241,0.2135
5683.7195,26588.8251,0.2138
5767.7466,26939.8951,0.2141
5851.2054,27292.1598,0.2144
5935.0387,27648.8462,0.2147
6019.2882,28003.7947,0.2149
6103.1844,28355.8449,0.2152
6187.7197,28714.0946,0.2155
6272.0497,29066.1226,0.2158
6356.3375,29419.7738,0.2161
6440.6253,29775.2154,0.2163
6525.9442,30130.8810,0.2166
6610.0556,30483.3516,0.2168
6694.7245,30836.4220,0.2171
6779.6309,31193.3361,0.2173
6864.7573,31546.6168,0.2176
6950.2060,31898.4380,0.2179
7036.0159,32252.7147,0.2182
7121.3562,32605.7514,0.2184
7206.5614,32959.3010,0.2187
7291.8313,33312.9019,0.2189
7376.9667,33668.2313,0.2191
7462.3424,34025.5340,0.2193
7547.7181,34025.6228,0.2218
