reach_time,algo_time,percentage
2.2818,232.8919,0.0098
8.5684,478.9329,0.0179
15.4484,727.2153,0.0212
26.5255,979.7110,0.0271
50.3839,1245.6658,0.0404
85.1901,1524.8002,0.0559
130.5936,1814.8108,0.0720
192.0308,2116.3636,0.0907
265.8640,2433.9747,0.1092
356.3552,2768.6410,0.1287
468.5233,3128.7658,0.1497
607.3766,3517.1830,0.1727
773.9153,3934.2999,0.1967
966.6213,4377.7995,0.2208
1187.3684,4850.8468,0.2448
1449.9734,5363.7830,0.2703
1734.0606,5895.4688,0.2941
2068.1700,6481.2216,0.3191
2438.2041,7100.5818,0.3434
2836.4119,7747.6553,0.3661
3283.0831,8444.8485,0.3888
3752.7848,9164.6698,0.4095
4246.9858,9907.5053,0.4287
4767.2283,10678.7477,0.4464
5324.2058,11484.9830,0.4636
5916.0486,12325.3429,0.4800
6541.6463,13201.9363,0.4955
7200.5049,14113.7377,0.5102
7896.4055,15063.2704,0.5242
8619.6760,16040.4081,0.5374
9374.5340,17051.0089,0.5498
10171.7242,18103.4114,0.5619
10983.3738,19168.4652,0.5730
11807.2546,20246.9752,0.5832
12666.6524,21360.6504,0.5930
13542.5208,22489.7124,0.6022
14442.7221,23643.0457,0.6109
15352.4573,24806.5292,0.6189
16300.7792,26007.9047,0.6268
17267.0833,27226.7055,0.6342
18256.0443,28469.5900,0.6412
19249.3559,29721.2588,0.6477
20264.0545,30993.2657,0.6538
21298.4593,32285.2125,0.6597
22353.4900,33598.5192,0.6653
23412.6189,34912.4652,0.6706
24490.7122,36249.3128,0.6756
25585.8692,37605.5315,0.6804
26707.1836,38988.6017,0.6850
27846.2418,40384.8758,0.6895
29018.0643,41816.3616,0.6939
30226.3719,43284.0563,0.6983
31466.9405,44784.9744,0.7026
32726.8213,46303.7582,0.7068
34014.5359,47846.1280,0.7109
35331.7878,49417.1442,0.7150
36683.9386,51027.9596,0.7189
38052.5028,52653.6166,0.7227
39455.0621,54314.1655,0.7264
40889.3361,56000.1012,0.7302
42337.4206,57705.1868,0.7337
43801.1405,59422.4501,0.7371
45290.3070,61168.8135,0.7404
46822.0454,62956.9997,0.7437
48375.0400,64766.4378,0.7469
49950.5219,66594.8242,0.7501
51546.7489,68447.6152,0.7531
53155.5185,70310.6114,0.7560
54776.3527,72180.9601,0.7589
56433.2970,74090.8643,0.7617
58109.4262,76021.9224,0.7644
59827.7125,77995.9340,0.7671
61559.1416,79981.4883,0.7697
63319.3113,81992.0246,0.7723
65096.5842,84024.5808,0.7747
66914.5243,86095.5837,0.7772
68766.3819,88203.7455,0.7796
70656.9014,90348.8214,0.7820
72568.6478,92519.8741,0.7844
74521.3704,94726.6282,0.7867
76491.0477,96951.8924,0.7890
78525.3496,99241.6003,0.7913
80609.9568,101582.1465,0.7935
82715.9139,103942.6852,0.7958
84854.5532,106337.6609,0.7980
86998.4120,108737.8192,0.8001
89185.8688,111183.5225,0.8022
91382.0458,113638.8742,0.8041
93600.8756,116111.7477,0.8061
95863.5863,118634.3819,0.8081
98136.3051,121159.1221,0.8100
100443.7429,123721.1648,0.8119
102769.6692,126299.9657,0.8137
105101.7121,128888.8746,0.8154
107446.0529,131490.9068,0.8171
109797.7577,134096.4097,0.8188
112166.4244,136719.7849,0.8204
114567.5580,139376.3591,0.8220
116997.3963,142060.5311,0.8236
119427.2345,142060.6754,0.8407
