reach_time,algo_time,percentage
2.2619,232.3113,0.0097
8.4792,476.6048,0.0178
15.4596,723.6187,0.0214
26.5175,977.4533,0.0271
50.2729,1245.9547,0.0403
84.8908,1527.0856,0.0556
130.7973,1820.1046,0.0719
192.7930,2128.8628,0.0906
266.5097,2448.0934,0.1089
356.9238,2783.6153,0.1282
468.5615,3142.8012,0.1491
608.0819,3534.1386,0.1721
773.7984,3951.6832,0.1958
965.6922,4392.5691,0.2198
1184.8830,4863.2391,0.2436
1448.7454,5378.9211,0.2693
1733.4628,5915.1772,0.2931
2066.5458,6497.2308,0.3181
2434.7837,7117.1052,0.3421
2831.9053,7765.1994,0.3647
3278.9178,8465.5799,0.3873
3751.5061,9191.2454,0.4082
4246.8397,9940.1736,0.4272
4769.1489,10716.3134,0.4450
5325.6405,11522.8956,0.4622
5920.1613,12368.4558,0.4786
6542.5028,13240.8996,0.4941
7201.2531,14155.2256,0.5087
7896.4363,15102.3223,0.5229
8622.1337,16079.1095,0.5362
9379.9889,17087.4412,0.5489
10181.6356,18141.0675,0.5612
10994.5537,19210.5320,0.5723
11817.0031,20287.0285,0.5825
12674.8200,21395.6196,0.5924
13543.6130,22512.0367,0.6016
14446.1716,23665.5038,0.6104
15354.9721,24832.1819,0.6183
16300.6261,26029.0320,0.6262
17261.7604,27239.7410,0.6337
18250.3498,28477.7858,0.6409
19241.3924,29720.5335,0.6474
20262.9040,30997.3648,0.6537
21300.4070,32291.1812,0.6596
22360.1769,33609.7548,0.6653
23424.3769,34927.7286,0.6707
24507.0204,36267.3016,0.6757
25607.1195,37625.3699,0.6806
26733.2702,39003.9060,0.6854
27877.1190,40406.4202,0.6899
29045.9734,41831.6361,0.6944
30255.3142,43298.8295,0.6988
31500.4384,44799.1002,0.7031
32764.2689,46316.3663,0.7074
34058.1984,47864.7184,0.7116
35385.2512,49443.4917,0.7157
36741.5012,51059.7717,0.7196
38118.4222,52689.2406,0.7235
39526.4715,54350.9289,0.7272
40971.5078,56052.1811,0.7310
42428.7546,57767.3388,0.7345
43899.8296,59493.2439,0.7379
45401.2639,61248.0828,0.7413
46944.3624,63045.6295,0.7446
48507.1396,64866.3245,0.7478
50080.0317,66691.7136,0.7509
51677.9284,68541.2827,0.7540
53287.2839,70411.0279,0.7568
54908.1768,72292.0098,0.7595
56566.0836,74204.9043,0.7623
58245.6783,76138.0190,0.7650
59966.3368,78111.6327,0.7677
61701.0666,80100.2698,0.7703
63464.9416,82116.0700,0.7729
65242.7994,84153.2515,0.7753
67056.8295,86218.8161,0.7778
68904.4017,88324.5734,0.7801
70798.6149,90474.5635,0.7825
72711.4601,92642.1029,0.7849
74656.4347,94838.4421,0.7872
76625.9243,97059.9546,0.7895
78654.8866,99345.0067,0.7917
80735.9293,101681.2441,0.7940
82845.0777,104043.8915,0.7963
84978.3506,106433.6610,0.7984
87127.7067,108838.6718,0.8005
89330.4735,111296.9655,0.8026
91530.0220,113755.8205,0.8046
93750.5371,116233.6499,0.8066
96000.1187,118739.2143,0.8085
98278.0367,121271.6485,0.8104
100594.7197,123842.4803,0.8123
102905.0663,126406.0663,0.8141
105238.6183,128994.3980,0.8158
107585.9902,131596.1066,0.8175
109941.0463,134206.6586,0.8192
112311.3216,136830.3888,0.8208
114718.2096,139494.5042,0.8224
117149.9770,142182.3875,0.8239
119581.7444,142182.5314,0.8410
