reach_time,algo_time,percentage
1.8741,328.6738,0.0057
6.3773,669.3523,0.0095
13.1301,1007.1198,0.0130
22.9552,1347.6337,0.0170
35.0000,1683.1908,0.0208
51.8692,2022.2202,0.0256
70.1698,2376.7170,0.0295
91.0452,2733.6369,0.0333
116.7002,3090.2957,0.0378
142.5815,3446.2754,0.0414
173.9324,3807.0878,0.0457
209.5047,4176.1478,0.0502
248.8919,4553.1660,0.0547
287.7258,4921.7513,0.0585
328.4650,5294.1150,0.0620
371.4847,5670.5930,0.0655
414.4952,6042.7209,0.0686
459.0418,6414.4954,0.0716
503.9685,6785.0502,0.0743
549.6926,7151.0207,0.0769
595.0551,7513.4564,0.0792
645.2989,7885.5051,0.0818
694.1854,8256.2641,0.0841
748.3342,8625.0810,0.0868
801.7653,8997.4768,0.0891
856.5770,9372.9759,0.0914
913.0464,9749.0259,0.0937
968.2506,10123.5491,0.0956
1024.7737,10512.3049,0.0975
1081.0051,10883.2283,0.0993
1136.9435,11264.5122,0.1009
1195.0305,11642.4010,0.1026
1255.7270,12027.9050,0.1044
1319.8718,12410.4809,0.1064
1382.6629,12799.3252,0.1080
1445.0295,13185.7569,0.1096
1507.7716,13566.3093,0.1111
1570.3390,13949.5941,0.1126
1632.9200,14334.5704,0.1139
1694.7259,14720.1766,0.1151
1760.9882,15112.1094,0.1165
1824.9583,15497.9483,0.1178
1891.1878,15891.6327,0.1190
1959.7906,16288.5010,0.1203
2028.0400,16684.9824,0.1215
2094.2067,17084.0995,0.1226
2159.1020,17479.2106,0.1235
2229.1879,17887.3886,0.1246
2298.3081,18291.6962,0.1256
2366.3139,18690.3070,0.1266
2434.9537,19096.3950,0.1275
2504.7665,19498.2878,0.1285
2574.5094,19899.2998,0.1294
2644.9151,20295.7921,0.1303
2714.9338,20698.4218,0.1312
2784.1767,21102.5131,0.1319
2854.8062,21501.1105,0.1328
2926.2982,21900.8723,0.1336
2996.1905,22302.6445,0.1343
3067.1581,22701.8692,0.1351
3138.3386,23104.9160,0.1358
3209.6068,23509.8461,0.1365
3285.3903,23914.5961,0.1374
3361.6779,24319.4427,0.1382
3434.3761,24720.7564,0.1389
3509.9094,25128.0845,0.1397
3584.9081,25528.9331,0.1404
3656.8954,25933.9466,0.1410
3731.5866,26344.0752,0.1416
3807.3981,26749.6756,0.1423
3881.4584,27153.2733,0.1429
3957.3740,27560.3898,0.1436
4034.9510,27962.8259,0.1443
4110.6864,28373.0136,0.1449
4185.3665,28777.7929,0.1454
4260.5571,29184.6932,0.1460
4337.1000,29591.8744,0.1466
4413.0360,30000.3783,0.1471
4491.0206,30411.4191,0.1477
4567.9799,30823.2354,0.1482
4643.7550,31226.6466,0.1487
4722.6432,31633.3033,0.1493
4802.7747,32046.0177,0.1499
4882.7252,32455.8163,0.1504
4961.6605,32866.6495,0.1510
5039.6200,33277.8417,0.1514
5119.2878,33691.9458,0.1519
5198.1257,34095.5624,0.1525
5275.8295,34504.5232,0.1529
5354.2934,34911.5684,0.1534
5431.1113,35318.3937,0.1538
5507.4598,35725.5676,0.1542
5586.6658,36135.2424,0.1546
5664.5312,36544.1474,0.1550
5743.5413,36958.6078,0.1554
5823.8145,37370.0436,0.1558
5901.8166,37776.6835,0.1562
5979.1628,38188.0109,0.1566
6058.2991,38601.3196,0.1569
6137.4354,38601.3792,0.1590
