reach_time,algo_time,percentage
1.8297,320.6677,0.0057
3.7738,644.3811,0.0059
10.3111,976.9726,0.0106
24.3403,1335.9051,0.0182
40.5491,1683.7756,0.0241
58.8243,2026.5810,0.0290
81.7887,2375.6131,0.0344
112.8313,2731.4732,0.0413
147.4060,3090.2651,0.0477
182.1612,3451.2264,0.0528
219.2264,3815.3649,0.0575
260.8295,4183.9834,0.0623
305.2186,4554.1874,0.0670
350.9429,4947.9597,0.0709
396.0128,5319.4612,0.0744
442.1576,5691.1290,0.0777
490.3657,6066.2698,0.0808
540.8479,6442.7284,0.0839
593.4912,6823.6558,0.0870
647.8655,7201.8604,0.0900
702.6683,7582.4075,0.0927
758.0787,7956.1266,0.0953
814.4846,8342.0473,0.0976
870.5369,8729.2984,0.0997
928.6358,9106.7541,0.1020
990.2560,9486.0664,0.1044
1055.3769,9867.7999,0.1070
1121.1998,10249.8301,0.1094
1187.9764,10635.1779,0.1117
1255.7374,11017.9113,0.1140
1324.2312,11404.8659,0.1161
1392.5131,11787.7517,0.1181
1461.9771,12201.1135,0.1198
1531.8441,12584.4280,0.1217
1602.4907,12969.2483,0.1236
1673.0452,13359.2410,0.1252
1743.7471,13744.5022,0.1269
1815.2285,14131.1353,0.1285
1886.3940,14519.9005,0.1299
1958.1762,14907.2724,0.1314
2031.1719,15296.1252,0.1328
2104.1165,15691.2867,0.1341
2177.5516,16101.9011,0.1352
2250.9460,16492.9056,0.1365
2324.9911,16885.2685,0.1377
2400.0359,17277.6530,0.1389
2476.1300,17671.9853,0.1401
2553.1830,18068.2696,0.1413
2630.8518,18466.0608,0.1425
2710.0205,18861.6274,0.1437
2789.1697,19259.9304,0.1448
2868.1366,19686.3718,0.1457
2948.3602,20084.0835,0.1468
3029.3552,20482.1229,0.1479
3110.4757,20880.2170,0.1490
3191.9956,21279.4450,0.1500
3272.8848,21679.8568,0.1510
3354.2766,22081.2044,0.1519
3435.9429,22479.9098,0.1528
3518.1984,22879.7626,0.1538
3601.3812,23279.4673,0.1547
3683.1276,23713.1674,0.1553
3765.3820,24114.2642,0.1561
3847.9914,24516.7541,0.1570
3930.2623,24916.0832,0.1577
4013.2301,25315.0370,0.1585
4096.6795,25715.9899,0.1593
4179.6757,26116.9977,0.1600
4263.1877,26517.2769,0.1608
4346.0570,26920.4965,0.1614
4428.1743,27330.1466,0.1620
4511.4313,27750.0235,0.1626
4594.3102,28149.7924,0.1632
4677.4362,28549.6192,0.1638
4760.9351,28952.6475,0.1644
4844.1727,29352.2898,0.1650
4927.3820,29754.5674,0.1656
5010.4916,30156.1643,0.1662
5093.8873,30558.9417,0.1667
5177.0538,30961.6888,0.1672
5261.4272,31380.2470,0.1677
5344.5791,31793.9091,0.1681
5427.8951,32194.4733,0.1686
5510.6448,32594.2924,0.1691
5593.6060,32997.7368,0.1695
5676.8313,33398.8311,0.1700
5760.2574,33801.5363,0.1704
5843.9868,34202.7592,0.1709
5928.1723,34603.9872,0.1713
6012.1631,35002.9625,0.1718
6096.9372,35419.7821,0.1721
6180.6615,35836.0922,0.1725
6264.7526,36237.7597,0.1729
6348.6256,36639.7980,0.1733
6432.9243,37040.9670,0.1737
6517.1964,37442.6137,0.1741
6601.2287,37843.5105,0.1744
6685.3487,38248.1836,0.1748
6770.1057,38648.3949,0.1752
6854.8626,38648.1164,0.1774
