frames,reward,dist
5000,0.0000,7.2908
10000,0.0000,13.8342
15000,0.0000,5.7789
20000,0.0000,13.9906
25000,0.0000,14.0353
30000,0.0000,14.0149
35000,0.0000,14.0355
40000,0.0000,14.0962
45000,0.0000,14.0870
50000,0.0000,14.1323
55000,0.0000,4.8120
60000,0.0000,14.1188
65000,0.0000,14.0918
70000,0.0000,10.8612
75000,0.0000,14.1067
80000,0.0000,10.3036
85000,0.0000,10.1832
90000,0.0000,14.0817
95000,0.0000,12.5627
100000,0.0000,14.1389
105000,0.0000,8.3187
110000,0.0000,13.4154
115000,0.0000,8.2718
120000,0.0000,12.1978
125000,0.0000,12.7880
130000,0.0000,8.7446
135000,0.0000,10.2640
140000,0.0000,9.6159
145000,0.0000,9.3642
150000,0.0000,11.3978
155000,0.0000,12.9356
160000,0.0000,9.4339
165000,0.0000,11.8303
170000,0.0000,6.5776
175000,0.0000,10.4302
180000,0.0000,9.6067
185000,0.0000,7.7955
190000,0.0000,10.5134
195000,0.0000,10.4373
200000,0.0000,9.4031
205000,0.0000,9.4419
210000,0.0000,12.6089
215000,0.0000,8.8123
220000,0.0000,9.9193
225000,0.0000,10.5084
230000,0.0000,8.5675
235000,0.0000,8.1036
240000,0.0000,12.2222
245000,0.0000,6.2166
250000,0.0000,7.2762
255000,0.0000,8.1164
260000,0.0000,10.7431
265000,0.0000,10.8258
270000,0.0000,10.6932
275000,0.0000,9.4653
280000,0.0000,10.8609
285000,0.0000,11.4522
290000,0.0000,10.6092
295000,0.0000,10.7584
300000,0.0000,10.9568
305000,0.0000,9.6564
310000,0.0000,11.6110
315000,0.0000,11.6583
320000,0.0000,12.0252
325000,0.0000,12.2859
330000,0.0000,13.0590
335000,0.0000,11.3993
340000,0.0000,11.6249
345000,0.0000,11.3909
350000,0.0000,11.0460
355000,0.0000,12.1705
360000,0.0000,8.5510
365000,0.0000,11.3898
370000,0.0000,11.8835
375000,0.0000,12.2946
380000,0.0000,11.0046
385000,0.0000,11.4745
390000,0.0000,11.7637
395000,0.0000,10.9163
400000,0.0000,9.5413
405000,0.0000,12.3524
410000,0.0000,12.3767
415000,0.0000,11.7098
420000,0.0000,12.1513
425000,0.0000,11.9447
430000,0.0000,12.9670
435000,0.0000,10.0941
440000,0.4000,11.1022
445000,0.2000,11.7587
450000,0.2000,10.1929
455000,0.4000,11.7289
460000,0.0000,12.1041
465000,0.0000,11.2954
470000,0.0000,11.3810
475000,0.0000,9.3360
480000,0.0000,10.3963
485000,0.0000,9.9298
490000,0.0000,9.5229
495000,0.0000,11.3128
500000,0.0000,10.5003
505000,0.0000,11.6906
510000,0.0000,10.0411
515000,0.2000,10.7158
520000,0.0000,12.8566
525000,0.0000,10.1897
530000,0.2000,11.7034
535000,0.4000,11.4782
540000,0.0000,10.3467
545000,0.0000,10.7160
550000,0.2000,11.9345
555000,0.0000,11.1906
560000,0.4000,11.7726
565000,0.4000,11.3070
570000,0.0000,11.6537
575000,0.0000,10.3553
580000,0.0000,12.1904
585000,0.0000,10.5095
590000,0.2000,12.5277
595000,0.2000,12.7181
600000,0.6000,12.1696
605000,0.0000,11.1727
610000,0.6000,11.8805
615000,0.4000,11.6471
620000,0.6000,11.5566
625000,0.0000,11.4460
630000,0.4000,11.7420
635000,0.0000,11.6260
640000,0.4000,11.8546
645000,0.0000,11.6813
650000,0.2000,11.3742
655000,0.4000,11.5797
660000,0.0000,10.5525
665000,0.6000,10.6620
670000,0.6000,8.6754
675000,1.0000,11.7842
680000,0.2000,9.9879
685000,0.4000,11.3896
690000,0.6000,12.1159
695000,0.6000,11.2290
700000,0.6000,11.7378
705000,0.4000,11.2663
710000,0.6000,9.1353
715000,0.8000,11.0868
720000,0.4000,10.5135
725000,0.6000,10.9821
730000,0.4000,10.3687
735000,0.4000,10.2033
740000,0.8000,11.7929
745000,0.0000,12.4374
750000,1.0000,11.2665
755000,0.2000,11.7328
760000,0.4000,8.7693
765000,0.4000,11.4305
770000,0.8000,11.4805
775000,0.8000,12.2104
780000,1.0000,11.5021
785000,0.8000,12.2557
790000,0.4000,10.9930
795000,0.6000,11.2565
800000,0.6000,11.1183
805000,0.4000,11.4938
810000,0.8000,9.7099
815000,0.6000,11.8673
820000,0.0000,10.0103
825000,0.2000,11.0001
830000,0.4000,11.3287
835000,0.0000,11.0276
840000,0.2000,10.7804
845000,0.0000,8.9267
850000,0.0000,10.4382
855000,0.0000,11.4021
860000,0.4000,11.8452
865000,0.0000,10.8728
870000,0.0000,10.6115
875000,0.6000,11.8380
